일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-02-07,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,81165,829,406237,155,24,1525170
2025-02-07,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,61513,1697,274249,163,47,2793872
2025-02-07,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,88324,2717,454740,252,86,4567081
2025-02-07,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,78734,2463,439313,369,92,5436808
2025-02-07,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,42542,1276,241900,170,72,3583249
2025-02-07,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,82845,1777,455752,129,62,4629491
2025-02-07,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,72152,1218,299726,99,26,1067510
2025-02-07,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,49816,1049,205462,76,23,1444786
2025-02-07,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,13188,355,45920,19,11,985220
2025-02-07,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,30518,876,121485,39,23,1757898
2025-02-07,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,7563,1186,63824,243,146,10679952
2025-02-07,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,18743,1559,170014,255,77,4103705
2025-02-07,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,8299,623,74642,73,36,3682856
2025-02-07,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,13175,684,109874,66,42,3988830
