일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-02-06,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,69036,814,345528,132,24,1496822
2025-02-06,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,56017,1545,249744,148,43,2544223
2025-02-06,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,69791,2147,359323,199,68,3608778
2025-02-06,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,76618,2397,427508,359,89,5290710
2025-02-06,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,37864,1136,215301,151,64,3189238
2025-02-06,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,73779,1582,405878,115,55,4122873
2025-02-06,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,57256,967,237845,79,21,847112
2025-02-06,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,45066,949,185870,69,21,1307015
2025-02-06,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,12303,331,42836,18,11,919047
2025-02-06,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,29037,834,115592,37,22,1672625
2025-02-06,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,7326,1149,61825,236,141,10345369
2025-02-06,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,19934,1659,180813,271,81,4364378
2025-02-06,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,7146,537,64278,63,31,3171521
2025-02-06,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,12007,623,100141,60,38,3635471
