일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-02-04,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,76214,1138,381455,145,33,2093111
2025-02-04,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,62528,1725,278771,165,48,2839940
2025-02-04,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,86619,2665,445961,247,84,4478915
2025-02-04,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,79358,2483,442797,372,93,5479917
2025-02-04,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,47712,1431,271298,191,80,4018719
2025-02-04,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,79207,1699,435741,123,59,4426219
2025-02-04,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,66297,1119,275403,91,24,980882
2025-02-04,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,48270,1017,199083,74,22,1399932
2025-02-04,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,13270,357,46203,19,11,991285
2025-02-04,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,32752,940,130378,42,24,1886580
2025-02-04,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,7298,1145,61587,235,140,10305628
2025-02-04,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,20587,1713,186734,280,84,4507289
2025-02-04,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,8816,662,79296,77,39,3912476
2025-02-04,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,13211,686,110176,66,42,3999775
