일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-02-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,71325,1289,356986,136,38,2371237
2025-02-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,58124,1603,259140,154,45,2639946
2025-02-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,77132,2373,397118,220,75,3988363
2025-02-02,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,74440,2329,415355,349,87,5140304
2025-02-02,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,43730,1312,248655,175,74,3683311
2025-02-02,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,71524,1534,393473,111,53,3996864
2025-02-02,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,66252,1119,275215,91,24,980211
2025-02-02,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,40335,850,166359,62,19,1169820
2025-02-02,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,12151,327,42307,17,10,907690
2025-02-02,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,27805,798,110685,35,21,1601625
2025-02-02,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,7091,1112,59839,228,136,10012995
2025-02-02,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,19422,1616,176173,264,79,4252375
2025-02-02,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,7189,540,64664,63,31,3190535
2025-02-02,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,12137,630,101223,61,39,3674773
