일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출
2025-02-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,78189,1045,391342,149,31,1921327
2025-02-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,64726,1785,288571,171,50,2939769
2025-02-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,90371,2780,465281,258,88,4672949
2025-02-05,구글,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,90174,2821,503146,423,105,6226782
2025-02-05,구글,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,46214,1386,262775,185,78,3892476
2025-02-05,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,98090,2104,539623,153,73,5481442
2025-02-05,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,78605,1327,326532,108,28,1162982
2025-02-05,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,48913,1030,201736,75,23,1418584
2025-02-05,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,15776,424,54931,23,14,1178535
2025-02-05,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,32065,921,127645,41,24,1847043
2025-02-05,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,8957,1405,75583,288,172,12647533
2025-02-05,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,21958,1827,199173,299,90,4807543
2025-02-05,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,9852,740,88611,86,43,4372092
2025-02-05,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,14843,770,123786,74,48,4493872
