일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-02-05,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1045,149,31,1921327
2025-02-05,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1785,171,50,2939769
2025-02-05,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,2780,258,88,4672949
2025-02-05,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,2821,423,105,6226782
2025-02-05,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1386,185,78,3892476
2025-02-05,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,2104,153,73,5481442
2025-02-05,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,1327,108,28,1162982
2025-02-05,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,1030,75,23,1418584
2025-02-05,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,424,23,14,1178535
2025-02-05,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,921,41,24,1847043
2025-02-05,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1405,288,172,12647533
2025-02-05,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1827,299,90,4807543
2025-02-05,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,740,86,43,4372092
2025-02-05,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,770,74,48,4493872
