일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-02-02,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1289,136,38,2371237
2025-02-02,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1603,154,45,2639946
2025-02-02,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,2373,220,75,3988363
2025-02-02,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,2329,349,87,5140304
2025-02-02,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1312,175,74,3683311
2025-02-02,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1534,111,53,3996864
2025-02-02,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,1119,91,24,980211
2025-02-02,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,850,62,19,1169820
2025-02-02,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,327,17,10,907690
2025-02-02,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,798,35,21,1601625
2025-02-02,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1112,228,136,10012995
2025-02-02,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1616,264,79,4252375
2025-02-02,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,540,63,31,3190535
2025-02-02,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,630,61,39,3674773
