일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-02-06,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,814,132,24,1496822
2025-02-06,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1545,148,43,2544223
2025-02-06,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,2147,199,68,3608778
2025-02-06,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,2397,359,89,5290710
2025-02-06,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1136,151,64,3189238
2025-02-06,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1582,115,55,4122873
2025-02-06,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,967,79,21,847112
2025-02-06,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,949,69,21,1307015
2025-02-06,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,331,18,11,919047
2025-02-06,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,834,37,22,1672625
2025-02-06,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1149,236,141,10345369
2025-02-06,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1659,271,81,4364378
2025-02-06,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,537,63,31,3171521
2025-02-06,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,623,60,38,3635471
