일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-02-03,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1238,143,36,2277203
2025-02-03,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1644,158,46,2707516
2025-02-03,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,2360,219,74,3967361
2025-02-03,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,2400,360,90,5297934
2025-02-03,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1248,166,70,3503446
2025-02-03,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1935,140,67,5040692
2025-02-03,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,1139,93,24,997714
2025-02-03,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,945,69,21,1301460
2025-02-03,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,396,21,13,1100153
2025-02-03,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,948,42,25,1901532
2025-02-03,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1229,252,151,11062894
2025-02-03,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1781,291,88,4687529
2025-02-03,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,664,77,39,3922493
2025-02-03,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,651,63,40,3797311
