일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-02-07,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,829,155,24,1525170
2025-02-07,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1697,163,47,2793872
2025-02-07,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,2717,252,86,4567081
2025-02-07,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,2463,369,92,5436808
2025-02-07,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1276,170,72,3583249
2025-02-07,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1777,129,62,4629491
2025-02-07,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,1218,99,26,1067510
2025-02-07,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,1049,76,23,1444786
2025-02-07,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,355,19,11,985220
2025-02-07,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,876,39,23,1757898
2025-02-07,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1186,243,146,10679952
2025-02-07,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1559,255,77,4103705
2025-02-07,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,623,73,36,3682856
2025-02-07,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,684,66,42,3988830
